prefab,name,char_id,bgm_id,bgm_filename
LobbyCH0294,CH0294,10122,298,Theme_298.ogg
LobbyCH0295,CH0295,10123,299,Theme_299.ogg
LobbyCH0291,CH0291,10124,240,Theme_240.ogg
LobbyCH0304,CH0304,10125,268,Theme_268.ogg
LobbyCH0306,CH0306,10126,216,Theme_216.ogg
LobbyCH0317,CH0317,10127,239,Theme_239.ogg
LobbyCH0318,CH0318,10128,209,Theme_209.ogg
LobbyCH0325,CH0325,10129,240,Theme_240.ogg
LobbyCH0309,CH0309,10130,10027,Theme_297_Inst2.ogg
LobbyCH0229,CH0229,10131,265,Theme_265.ogg
LobbyCH0297,CH0297,10132,103,Theme_103.ogg
LobbyCH0331,CH0331,10133,340,Theme_340.ogg
LobbyCH0334,CH0334,10134,298,Theme_298.ogg
LobbyCH0335,CH0335,10135,339,Theme_339.ogg
LobbyCH0337,CH0337,10136,265,Theme_265.ogg
LobbyAkane,Akane,13000,9,Theme_09.ogg
LobbyChise,Chise,13001,63,Theme_63.ogg
LobbyAkari,Akari,13002,36,Theme_36.ogg
LobbyHasumi,Hasumi,13003,2,Theme_02.ogg
LobbyNonomi,Nonomi,13004,9,Theme_09.ogg
LobbyKayoko,Kayoko,13005,37,Theme_37.ogg
LobbyMutsuki,Mutsuki,13006,28,Theme_28.ogg
LobbyZunko,Zunko,13007,36,Theme_36.ogg
LobbySerika,Serika,13008,46,Theme_46.ogg
LobbyTsubaki,Tsubaki,13009,9,Theme_09.ogg
LobbyYuuka,Yuuka,13010,17,Theme_17.ogg
LobbyMomoi,Momoi,13011,54,Theme_54.ogg
LobbyKirino,Kirino,13012,17,Theme_17.ogg
LobbyMomiji,Momiji,13013,36,Theme_36.ogg
LobbyCH0302,CH0302,13014,244,Theme_244.ogg
LobbyHaruka,Haruka,16000,43,Theme_43.ogg
LobbyAsuna,Asuna,16001,38,Theme_38.ogg
LobbyKotori,Kotori,16002,17,Theme_17.ogg
LobbySuzumi,Suzumi,16003,21,Theme_21.ogg
LobbyPina,Pina,16004,57,Theme_57.ogg
LobbyCH0060,CH0060,16005,80,Theme_80.ogg
LobbyIzumi_swimsuit,Izumi_swimsuit,16006,86,Theme_86.ogg
LobbyTomoe,Tomoe,16007,21,Theme_21.ogg
LobbyCH0141,CH0141,16008,36,Theme_36.ogg
LobbyCH0113,CH0113,16009,39,Theme_39.ogg
LobbyCH0181,CH0181,16010,39,Theme_39.ogg
LobbyCH0190,CH0190,16011,104,Theme_104.ogg
LobbyCH0192,CH0192,16012,141,Theme_141.ogg
LobbyCH0205,CH0205,16013,173,Theme_173.ogg
LobbyIbuki,Ibuki,16014,50,Theme_50.ogg
LobbyCH0251,CH0251,16015,222,Theme_222.ogg
LobbyCH0275,CH0275,16016,221,Theme_221.ogg
LobbyCH0288,CH0288,16017,267,Theme_267.ogg
LobbyCH0166,CH0166,16018,104,Theme_104.ogg
LobbyCH0333,CH0333,16019,342,Theme_342.ogg
LobbyHibiki,Hibiki,20000,21,Theme_21.ogg
LobbyKarin,Karin,20001,21,Theme_21.ogg
LobbySaya,Saya,20002,38,Theme_38.ogg
LobbyMashiro,Mashiro,20003,39,Theme_39.ogg
LobbyMashiro_swimsuit,Mashiro_swimsuit,20004,80,Theme_80.ogg
LobbyCH0058,CH0058,20005,80,Theme_80.ogg
LobbySaya_casual,Saya_casual,20006,36,Theme_36.ogg
LobbyCH9999,CH9999,20007,10004,BlueNewWorld_Lobby.ogg
LobbyAko,Ako,20008,38,Theme_38.ogg
LobbyCH0164,CH0164,20009,36,Theme_36.ogg
LobbyCH0165,CH0165,20010,99,Theme_99.ogg
LobbySerika_Newyear,Serika_Newyear,20011,9,Theme_09.ogg
LobbyCH0081,CH0081,20012,21,Theme_21.ogg
LobbyCH0160,CH0160,20013,37,Theme_37.ogg
LobbyCH0144,CH0144,20014,36,Theme_36.ogg
LobbyKaede,Kaede,20015,63,Theme_63.ogg
LobbyCH0156,CH0156,20016,44,Theme_44.ogg
LobbyHiyori,Hiyori,20017,38,Theme_38.ogg
LobbyMoe,Moe,20018,21,Theme_21.ogg
LobbyCH0099,CH0099,20019,37,Theme_37.ogg
LobbyCH0159,CH0159,20020,36,Theme_36.ogg
LobbyCH0195,CH0195,20021,62,Theme_62.ogg
LobbyCH0177,CH0177,20022,43,Theme_43.ogg
LobbyCH0170,CH0170,20023,44,Theme_44.ogg
LobbyNagisa,Nagisa,20024,44,Theme_44.ogg
LobbyCH0087,CH0087,20025,39,Theme_39.ogg
LobbyCH0214,CH0214,20026,44,Theme_44.ogg
LobbyCH0188,CH0188,20027,120,Theme_120.ogg
LobbyCH0210,CH0210,20028,38,Theme_38.ogg
LobbyCH0183,CH0183,20029,21,Theme_21.ogg
LobbyCH0193,CH0193,20030,39,Theme_39.ogg
LobbyCH0123,CH0123,20031,135,Theme_135.ogg
LobbyCH0219,CH0219,20032,103,Theme_103.ogg
LobbyCH0079,CH0079,20033,199,Theme_199.ogg
LobbyCH0196,CH0196,20034,9,Theme_09.ogg
LobbyCH0255,CH0255,20035,209,Theme_209.ogg
LobbyCH0189,CH0189,20036,221,Theme_221.ogg
LobbyCH0261,CH0261,20037,214,Theme_214.ogg
LobbyCH0271,CH0271,20038,192,Theme_192.ogg
LobbyCH0139,CH0139,20039,135,Theme_135.ogg
LobbyCH0080,CH0080,20040,192,Theme_192.ogg
LobbyCH0158,CH0158,20041,265,Theme_265.ogg
LobbyCH0235,CH0235,20042,240,Theme_240.ogg
LobbyCH0197,CH0197,20043,141,Theme_141.ogg
LobbyCH0287,CH0287,20044,268,Theme_268.ogg
LobbyCH0257,CH0257,20045,216,Theme_216.ogg
LobbyCH0109,CH0109,20046,192,Theme_192.ogg
LobbyCH0300,CH0300,20047,264,Theme_264.ogg
LobbyCH0293,CH0293,20048,300,Theme_300.ogg
LobbyCH0268,CH0268,20049,222,Theme_222.ogg
LobbyCH0319,CH0319,20050,263,Theme_263.ogg
LobbyCH0326,CH0326,20051,228,Theme_228.ogg
LobbyCH0228,CH0228,20052,9,Theme_09.ogg
LobbyCH0296,CH0296,20053,268,Theme_268.ogg
LobbyCH0332,CH0332,20054,341,Theme_341.ogg
LobbyCH0336,CH0336,20055,239,Theme_239.ogg
LobbyCH0310,CH0310,20056,266,Theme_266.ogg
LobbyAiri,Airi,23000,36,Theme_36.ogg
LobbyFuuka,Fuuka,23001,36,Theme_36.ogg
LobbyHanae,Hanae,23002,38,Theme_38.ogg
LobbyHare,Hare,23003,36,Theme_36.ogg
LobbyUtaha,Utaha,23004,2,Theme_02.ogg
LobbyAyane,Ayane,23005,39,Theme_39.ogg
LobbyShizuko,Shizuko,23006,9,Theme_09.ogg
LobbyHanako,Hanako,23007,9,Theme_09.ogg
LobbyMari,Mari,23008,37,Theme_37.ogg
LobbyChinatsu,Chinatsu,26000,37,Theme_37.ogg
LobbyKotama,Kotama,26001,37,Theme_37.ogg
LobbyJuri,Juri,26002,9,Theme_09.ogg
LobbySerina,Serina,26003,43,Theme_43.ogg
LobbyShimiko,Shimiko,26004,109,Theme_109.ogg
LobbyYoshimi,Yoshimi,26005,9,Theme_09.ogg
LobbyNodoka,Nodoka,26006,12,Theme_12.ogg
LobbyCH0176,CH0176,26007,121,Theme_121.ogg
LobbyCH0180,CH0180,26008,43,Theme_43.ogg
LobbyCH0203,CH0203,26009,38,Theme_38.ogg
LobbyCH0218,CH0218,26010,104,Theme_104.ogg
LobbyCH9996,CH9996,26011,17,Theme_17.ogg
LobbyCH0262,CH0262,26012,220,Theme_220.ogg
LobbyCH0267,CH0267,26013,237,Theme_237.ogg
LobbyCH0282,CH0282,26014,267,Theme_267.ogg
LobbyCH0292,CH0292,26015,135,Theme_135.ogg
LobbyHoshino_multi,Hoshino_multi,10005,12,Theme_12.ogg
LobbyShiroko_multi,Shiroko_multi,10010,12,Theme_12.ogg
LobbyNonomi_multi,Nonomi_multi,13004,12,Theme_12.ogg
LobbySerika_multi,Serika_multi,13008,12,Theme_12.ogg
LobbyAyane_multi,Ayane_multi,23005,12,Theme_12.ogg
