file_id,student_id,page_id,spine_id,full_name,name,skin_name,spine_remark,name_cn,name_jp,name_tw,name_en,name_kr,school_id,school_name
NP0070,6,6,1739,月雪 宫子（运动服）,月雪 宫子,,运动服,月雪 宫子,月雪 ミヤコ,月雪 都子,Tsukiyuki Miyako,츠키유키 미야코,11,SRT特殊学园
miyako,6,6,1627,月雪 宫子,月雪 宫子,,,月雪 宫子,月雪 ミヤコ,月雪 都子,Tsukiyuki Miyako,츠키유키 미야코,11,SRT特殊学园
CH0215,6,280,1473,月雪 宫子（泳装）,月雪 宫子,泳装,,月雪 宫子（泳装）,月雪 ミヤコ（水着）,月雪 都子（泳裝）,Tsukiyuki Miyako,츠키유키 미야코,11,SRT特殊学园
NP0073,7,7,1742,风仓 萌绘（运动服）,风仓 萌绘,,运动服,风仓 萌绘,風倉 モエ,風倉 萌,Kazekura Moe,카제쿠라 모에,11,SRT特殊学园
moe,7,7,343,风仓 萌绘,风仓 萌绘,,,风仓 萌绘,風倉 モエ,風倉 萌,Kazekura Moe,카제쿠라 모에,11,SRT特殊学园
CH0216,7,286,1474,风仓 萌绘（泳装）,风仓 萌绘,泳装,,风仓 萌绘（泳装）,風倉 モエ（水着）,風倉 萌（泳裝）,Kazekura Moe,카제쿠라 모에,11,SRT特殊学园
CH0144,8,8,1597,空井 咲,空井 咲,,,空井 咲,空井 サキ,空井 咲希,Sorai Saki,소라이 사키,11,SRT特殊学园
NP0018,8,8,1678,空井 咲（油桶伪装）,空井 咲,,油桶伪装,空井 咲,空井 サキ,空井 咲希,Sorai Saki,소라이 사키,11,SRT特殊学园
NP0072,8,8,1741,空井 咲（运动服）,空井 咲,,运动服,空井 咲,空井 サキ,空井 咲希,Sorai Saki,소라이 사키,11,SRT特殊学园
CH0217,8,279,1475,空井 咲（泳装）,空井 咲,泳装,,空井 咲（泳装）,空井 サキ（水着）,空井 咲希（泳裝）,Sorai Saki,소라이 사키,11,SRT特殊学园
CH0145,9,9,1598,霞泽 美游,霞泽 美游,,,霞泽 美游,霞沢 ミユ,霞沢 美優,Kasumizawa Miyu,카스미자와 미유,11,SRT特殊学园
NP0071,9,9,1740,霞泽 美游（运动服）,霞泽 美游,,运动服,霞泽 美游,霞沢 ミユ,霞沢 美優,Kasumizawa Miyu,카스미자와 미유,11,SRT特殊学园
CH0218,9,278,1476,霞泽 美游（泳装）,霞泽 美游,泳装,,霞泽 美游（泳装）,霞沢 ミユ（水着）,霞沢 美優（泳裝）,Kasumizawa Miyu,카스미자와 미유,11,SRT特殊学园
NP0227,10,10,1231,栗村 爱莉（鬼屋装扮）,栗村 爱莉,,鬼屋装扮,栗村 爱理,栗村 アイリ,栗村 愛莉,Kurimura Airi,쿠리무라 아이리,2,圣三一综合学园
airi,10,10,1226,栗村 爱莉,栗村 爱莉,,,栗村 爱理,栗村 アイリ,栗村 愛莉,Kurimura Airi,쿠리무라 아이리,2,圣三一综合学园
CH0251,10,369,1497,栗村 爱莉（乐队）,栗村 爱莉,乐队,,栗村 爱理（乐队）,栗村 アイリ（バンド）,栗村 愛莉（樂團）,Kurimura Airi,쿠리무라 아이리,2,圣三一综合学园
NP0189,10,369,1549,"栗村 爱莉（乐队,白背心）",栗村 爱莉,乐队,白背心,栗村 爱理（乐队）,栗村 アイリ（バンド）,栗村 愛莉（樂團）,Kurimura Airi,쿠리무라 아이리,2,圣三一综合学园
NP0014,11,11,1677,狐坂 若藻（和服）,狐坂 若藻,,和服,狐坂 若藻,狐坂 ワカモ,狐坂 若藻,Kosaka Wakamo,코사카 와카모,9,百鬼夜行联合学园
wakamo,11,11,8,狐坂 若藻,狐坂 若藻,,,狐坂 若藻,狐坂 ワカモ,狐坂 若藻,Kosaka Wakamo,코사카 와카모,9,百鬼夜行联合学园
wakamo_mask,11,11,18,狐坂 若藻（面具）,狐坂 若藻,,面具,狐坂 若藻,狐坂 ワカモ,狐坂 若藻,Kosaka Wakamo,코사카 와카모,9,百鬼夜行联合学园
CH0175,11,41,1613,狐坂 若藻（泳装）,狐坂 若藻,泳装,,狐坂 若藻（泳装）,狐坂 ワカモ（水着）,狐坂 若藻（泳裝）,Kosaka Wakamo,코사카 와카모,9,百鬼夜行联合学园
NP0256,12,12,1378,阿里乌斯学生A,阿里乌斯学生A,,,,アリウスの生徒A,,Arius_GL1,,10,阿里乌斯分校
arius_gl1,12,12,1578,阿里乌斯学生A,阿里乌斯学生A,,,,アリウスの生徒A,,Arius_GL1,,10,阿里乌斯分校
automata_decagrammaton1,13,13,1579,神名十字机器人A,神名十字机器人A,,,,Automata_Decagrammaton1,,,,21,神名十文字
automata_kurokamegumi1,14,14,1580,黑龟组机器人A,黑龟组机器人A,,,,Automata_Kurokamegumi1_spr,,,,18,地方组织与居民
automata_pmc1,15,15,1581,凯撒机器人A,凯撒机器人A,,,,Automata_PMC1,,,,19,凯撒集团
NP0040,17,17,1621,联邦学生会长,联邦学生会长,,,联邦理事会长,連邦生徒会長,聯邦學生會長,GSC President,총학생회장,12,联邦学生会
sena,18,18,1413,冰室 濑名,冰室 濑名,,,冰室 濑名,氷室 セナ,氷室 瀬奈,Himuro Sena,히무로 세나,3,格赫娜学园
CH0082,18,520,1240,冰室 濑名（私服）,冰室 濑名,私服,,冰室 濑名（便服）,氷室 セナ（私服）,氷室 瀬奈（私服）,Himuro Sena,히무로 세나,3,格赫娜学园
NP0011,19,19,1675,戈尔孔达&印花釉法,戈尔孔达&印花釉法,,,戈尔孔达&德卡考马尼,ゴルコンダ&デカルコマニー,戈爾孔特&轉印,Golconde&Decalcomania,골콩트&데칼코마니,20,数秘术
NP0289,19,19,1571,戈尔孔达&印花釉法,戈尔孔达&印花釉法,,,戈尔孔达&德卡考马尼,ゴルコンダ&デカルコマニー,戈爾孔特&轉印,Golconde&Decalcomania,골콩트&데칼코마니,20,数秘术
CH0160,20,20,1602,各务 千寻,各务 千寻,,,各务 千寻,各務 チヒロ,各務 千尋,Kagami Chihiro,카가미 치히로,4,千禧科学学院
CH0234,20,344,1486,各务 千寻（露营）,各务 千寻,露营,,各务 千寻,各務 チヒロ（キャンプ）,各務 千尋（露營）,Kagami Chihiro,카가미 치히로,4,千禧科学学院
CH0313,20,510,1313,各务 千寻（睡衣）,各务 千寻,睡衣,,各务 千寻,各務 チヒロ（パジャマ）,各務 千尋（睡衣）,Kagami Chihiro,카가미 치히로,4,千禧科学学院
mimori,22,22,353,水羽 弥守,水羽 弥守,,,水羽 三森,水羽 ミモリ,水羽 三森,Mizuha Mimori,미즈하 미모리,9,百鬼夜行联合学园
CH0183,22,56,1462,水羽 弥守（泳装）,水羽 弥守,泳装,,水羽 三森（泳装）,水羽 ミモリ（水着）,水羽 三森（泳裝）,Mizuha Mimori,미즈하 미모리,9,百鬼夜行联合学园
CH0169,23,23,1606,古关 忧,古关 忧,,,古关 忧,古関 ウイ,古関 憂,Kozeki Ui,코제키 우이,2,圣三一综合学园
CH0204,23,302,1467,古关 忧（泳装）,古关 忧,泳装,,古关 忧（泳装）,古関 ウイ（水着）,古関 憂（泳裝）,Kozeki Ui,코제키 우이,2,圣三一综合学园
akane,24,24,1232,室笠 茜,室笠 茜,,,室笠 茜,室笠 アカネ,室笠 朱音,Murokasa Akane,무로카사 아카네,4,千禧科学学院
CH0099,24,132,1591,室笠 茜（兔女郎）,室笠 茜,兔女郎,,室笠 茜（邦妮）,室笠 アカネ（バニーガール）,室笠 朱音（兔女郎）,Murokasa Akane,무로카사 아카네,4,千禧科学学院
CH0307,24,517,1307,室笠 茜（制服）,室笠 茜,制服,,室笠 茜,室笠 アカネ（制服）,室笠 朱音,Murokasa Akane,무로카사 아카네,4,千禧科学学院
NP0083,25,25,1334,桐藤 渚（站立）,桐藤 渚,,站立,桐藤 渚,桐藤 ナギサ,桐藤 渚,Kirifuji Nagisa,키리후지 나기사,2,圣三一综合学园
nagisa,25,25,329,桐藤 渚,桐藤 渚,,,桐藤 渚,桐藤 ナギサ,桐藤 渚,Kirifuji Nagisa,키리후지 나기사,2,圣三一综合学园
CH0293,25,544,1295,桐藤 渚（泳装）,桐藤 渚,泳装,,桐藤 渚（泳装）,桐藤 ナギサ（水着）,桐藤 渚（泳裝）,Kirifuji Nagisa,키리후지 나기사,2,圣三一综合学园
hinata,26,26,1393,若叶 日向,若叶 日向,,,若叶 日向,若葉 ヒナタ,若葉 日向,Wakaba Hinata,와카바 히나타,2,圣三一综合学园
CH0210,26,301,1470,若叶 日向（泳装）,若叶 日向,泳装,,若叶 日向（泳装）,若葉 ヒナタ（水着）,若葉 日向（泳裝）,Wakaba Hinata,와카바 히나타,2,圣三一综合学园
NP0236,27,27,1361,才羽 绿（防寒服）,才羽 绿,,防寒服,才羽 绿,才羽 ミドリ,才羽 綠,Saiba Midori,사이바 미도리,4,千禧科学学院
midori,27,27,1404,才羽 绿,才羽 绿,,,才羽 绿,才羽 ミドリ,才羽 綠,Saiba Midori,사이바 미도리,4,千禧科学学院
CH0202,27,31,1466,才羽 绿（女仆）,才羽 绿,女仆,,才羽 绿（女仆）,才羽 ミドリ（メイド）,才羽 綠（女僕）,Saiba Midori,사이바 미도리,4,千禧科学学院
NP0268,27,580,1383,"才羽 绿（临战,太空服）",才羽 绿,临战,太空服,才羽 绿（武装）,才羽 ミドリ（臨戦）,才羽 綠（武裝）,Saiba Midori,사이바 미도리,4,千禧科学学院
CH0095,28,28,1241,生盐 诺亚,生盐 诺亚,,,生盐 诺亚,生塩 ノア,生塩 乃愛,Ushio Noa,우시오 노아,4,千禧科学学院
NP0043,28,28,1713,生盐 诺亚（运动服）,生盐 诺亚,,运动服,生盐 诺亚,生塩 ノア,生塩 乃愛,Ushio Noa,우시오 노아,4,千禧科学学院
CH0285,28,506,1287,生盐 诺亚（睡衣）,生盐 诺亚,睡衣,,生盐 诺亚（睡衣）,生塩 ノア（パジャマ）,生塩 乃愛（睡衣）,Ushio Noa,우시오 노아,4,千禧科学学院
NP0054,29,29,1723,勇美 枫（运动服）,勇美 枫,,运动服,勇美 枫,勇美 カエデ,勇美 楓,Isami Kaede,이사미 카에데,9,百鬼夜行联合学园
kaede,29,29,314,勇美 枫,勇美 枫,,,勇美 枫,勇美 カエデ,勇美 楓,Isami Kaede,이사미 카에데,9,百鬼夜行联合学园
CH0256,29,361,1501,勇美 枫（导游）,勇美 枫,导游,,勇美 枫（导游）,勇美 カエデ（ガイド）,勇美 楓（導覽員）,Isami Kaede,이사미 카에데,9,百鬼夜行联合学园
CH0114,32,32,1245,大野 月咏,大野 月咏,,,大野 月咏,大野 ツクヨ,大野 月夜,Ōno Tsukuyo,오노 츠쿠요,9,百鬼夜行联合学园
NP0056,32,32,1725,大野 月咏（运动服）,大野 月咏,,运动服,大野 月咏,大野 ツクヨ,大野 月夜,Ōno Tsukuyo,오노 츠쿠요,9,百鬼夜行联合学园
CH0297,32,568,1299,大野 月咏（礼服）,大野 月咏,礼服,,大野 月咏（礼服）,大野 ツクヨ（ドレス）,大野 月夜（禮服）,Ōno Tsukuyo,오노 츠쿠요,9,百鬼夜行联合学园
misaki,33,33,346,戒野 美咲,戒野 美咲,,,戒野 美咲,戒野 ミサキ,戒野 美咲,Imashino Misaki,이마시노 미사키,10,阿里乌斯分校
CH0268,33,384,1270,戒野 美咲（泳装）,戒野 美咲,泳装,,戒野 美咲（泳装）,戒野 ミサキ（水着）,戒野 美咲（泳裝）,Imashino Misaki,이마시노 미사키,10,阿里乌斯分校
hiyori,34,34,290,槌永 日和,槌永 日和,,,槌永 日和,槌永 ヒヨリ,槌永 日和,Tsuchinaga Hiyori,츠치나가 히요리,10,阿里乌斯分校
CH0269,34,383,1271,槌永 日和（泳装）,槌永 日和,泳装,,槌永 日和（泳装）,槌永 ヒヨリ（水着）,槌永 日和（泳裝）,Tsuchinaga Hiyori,츠치나가 히요리,10,阿里乌斯分校
NP0021,35,35,1681,秤 亚津子（战损）,秤 亚津子,,战损,秤 亚津子,秤 アツコ,秤 敦子,Hakari Atsuko,하카리 아츠코,10,阿里乌斯分校
NP0077,35,35,1745,秤 亚津子（紧身衣）,秤 亚津子,,紧身衣,秤 亚津子,秤 アツコ,秤 敦子,Hakari Atsuko,하카리 아츠코,10,阿里乌斯分校
atsuko,35,35,1819,秤 亚津子,秤 亚津子,,,秤 亚津子,秤 アツコ,秤 敦子,Hakari Atsuko,하카리 아츠코,10,阿里乌斯分校
CH0267,35,382,1269,秤 亚津子（泳装）,秤 亚津子,泳装,,秤 亚津子（泳装）,秤 アツコ（水着）,秤 敦子（泳裝）,Hakari Atsuko,하카리 아츠코,10,阿里乌斯分校
NP0012,36,36,1676,锭前 纱织（战损）,锭前 纱织,,战损,锭前 纱织,錠前 サオリ,錠前 沙織,Jomae Saori,조마에 사오리,10,阿里乌斯分校
NP0103,36,36,1794,锭前 纱织（头盔）,锭前 纱织,,头盔,锭前 纱织,錠前 サオリ,錠前 沙織,Jomae Saori,조마에 사오리,10,阿里乌斯分校
saori,36,36,1412,锭前 纱织,锭前 纱织,,,锭前 纱织,錠前 サオリ,錠前 沙織,Jomae Saori,조마에 사오리,10,阿里乌斯分校
CH0259,36,356,676,锭前 纱织（礼服）,锭前 纱织,礼服,,锭前 纱织（礼服）,錠前 サオリ（ドレス）,錠前 沙織（禮服）,Jomae Saori,조마에 사오리,10,阿里乌斯分校
NP0164,36,356,677,"锭前 纱织（礼服,正面）",锭前 纱织,礼服,正面,锭前 纱织（礼服）,錠前 サオリ（ドレス）,錠前 沙織（禮服）,Jomae Saori,조마에 사오리,10,阿里乌斯分校
CH0266,36,381,1268,锭前 纱织（泳装）,锭前 纱织,泳装,,锭前 纱织（泳装）,錠前 サオリ（水着）,錠前 沙織（泳裝）,Jomae Saori,조마에 사오리,10,阿里乌斯分校
NP0230,36,381,1357,"锭前 纱织（泳装,无外套）",锭前 纱织,泳装,无外套,锭前 纱织（泳装）,錠前 サオリ（水着）,錠前 沙織（泳裝）,Jomae Saori,조마에 사오리,10,阿里乌斯分校
NP0226,37,37,1354,杏山 和纱（鬼屋装扮）,杏山 和纱,,鬼屋装扮,杏山 和纱,杏山 カズサ,杏山 千紗,Kyoyama Kazusa,쿄야마 카즈사,2,圣三一综合学园
kazusa,37,37,330,杏山 和纱,杏山 和纱,,,杏山 和纱,杏山 カズサ,杏山 千紗,Kyoyama Kazusa,쿄야마 카즈사,2,圣三一综合学园
CH0250,37,368,1496,杏山 和纱（乐队）,杏山 和纱,乐队,,杏山 和纱（乐队）,杏山 カズサ（バンド）,杏山 千紗（樂團）,Kyoyama Kazusa,쿄야마 카즈사,2,圣三一综合学园
NP0188,37,368,711,"杏山 和纱（乐队,白背心）",杏山 和纱,乐队,白背心,杏山 和纱（乐队）,杏山 カズサ（バンド）,杏山 千紗（樂團）,Kyoyama Kazusa,쿄야마 카즈사,2,圣三一综合学园
CH0156,38,38,1601,枣 伊吕波,枣 伊吕波,,,枣 伊吕波,棗 イロハ,棗 伊呂波,Natsume Iroha,나츠메 이로하,3,格赫娜学园
CH0346,38,612,1787,枣 伊吕波（泳装）,枣 伊吕波,泳装,,枣 伊吕波（泳装）,棗 イロハ（水着）,棗 伊呂波（泳裝）,Natsume Iroha,나츠메 이로하,3,格赫娜学园
NP0300,38,612,1782,"枣 伊吕波（泳装,海盗装）",枣 伊吕波,泳装,海盗装,枣 伊吕波（泳装）,棗 イロハ（水着）,棗 伊呂波（泳裝）,Natsume Iroha,나츠메 이로하,3,格赫娜学园
NP0019,39,39,1679,天雨 亚子（战损）,天雨 亚子,,战损,天雨 亚子,天雨 アコ,天雨 亞子,Amau Ako,아마우 아코,3,格赫娜学园
NP0059,39,39,1728,天雨 亚子（运动服）,天雨 亚子,,运动服,天雨 亚子,天雨 アコ,天雨 亞子,Amau Ako,아마우 아코,3,格赫娜学园
NP0111,39,39,1802,天雨 亚子（领航服）,天雨 亚子,,领航服,天雨 亚子,天雨 アコ,天雨 亞子,Amau Ako,아마우 아코,3,格赫娜学园
ako,39,39,1814,天雨 亚子,天雨 亚子,,,天雨 亚子,天雨 アコ,天雨 亞子,Amau Ako,아마우 아코,3,格赫娜学园
CH0231,39,345,1483,天雨 亚子（礼服）,天雨 亚子,礼服,,天雨 亚子（礼服）,天雨 アコ（ドレス）,天雨 亞子（禮服）,Amau Ako,아마우 아코,3,格赫娜学园
CH0092,40,40,1590,十六夜 野宫（泳装）,十六夜 野宫,泳装,,十六夜 野宫（泳装）,十六夜 ノノミ（水着）,十六夜 野乃美（泳裝）,Izayoi Nonomi,이자요이 노노미,1,阿比多斯高中
NP0067,40,40,1736,"十六夜 野宫（泳装,头套）",十六夜 野宫,泳装,头套,十六夜 野宫（泳装）,十六夜 ノノミ（水着）,十六夜 野乃美（泳裝）,Izayoi Nonomi,이자요이 노노미,1,阿比多斯高中
NP0044,40,78,1714,十六夜 野宫（运动服）,十六夜 野宫,,运动服,十六夜 野宫,十六夜 ノノミ,十六夜 野乃美,Izayoi Nonomi,이자요이 노노미,1,阿比多斯高中
NP0171,40,78,1537,十六夜 野宫（冬装）,十六夜 野宫,,冬装,十六夜 野宫,十六夜 ノノミ,十六夜 野乃美,Izayoi Nonomi,이자요이 노노미,1,阿比多斯高中
NP0176,40,78,1542,十六夜 野宫（战损）,十六夜 野宫,,战损,十六夜 野宫,十六夜 ノノミ,十六夜 野乃美,Izayoi Nonomi,이자요이 노노미,1,阿比多斯高中
NP0195,40,78,1550,十六夜 野宫（一年级）,十六夜 野宫,,一年级,十六夜 野宫,十六夜 ノノミ,十六夜 野乃美,Izayoi Nonomi,이자요이 노노미,1,阿比多斯高中
nonomi,40,78,1408,十六夜 野宫,十六夜 野宫,,,十六夜 野宫,十六夜 ノノミ,十六夜 野乃美,Izayoi Nonomi,이자요이 노노미,1,阿比多斯高中
nonomi_robber,40,78,323,十六夜 野宫（头套）,十六夜 野宫,,头套,十六夜 野宫,十六夜 ノノミ,十六夜 野乃美,Izayoi Nonomi,이자요이 노노미,1,阿比多斯高中
NP0063,42,42,1732,"小鸟游 星野（泳装,头套）",小鸟游 星野,泳装,头套,小鸟游 星野（泳装）,小鳥遊 ホシノ（水着）,小鳥遊 星野（泳裝）,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
hoshino_swimsuit,42,42,1836,小鸟游 星野（泳装）,小鸟游 星野,泳装,,小鸟游 星野（泳装）,小鳥遊 ホシノ（水着）,小鳥遊 星野（泳裝）,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
NP0045,42,76,1715,小鸟游 星野（运动服）,小鸟游 星野,,运动服,小鸟游 星野,小鳥遊 ホシノ,小鳥遊 星野,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
NP0173,42,76,1539,小鸟游 星野（冬装）,小鸟游 星野,,冬装,小鸟游 星野,小鳥遊 ホシノ,小鳥遊 星野,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
NP0204,42,76,1553,"小鸟游 星野（冬装,无围巾）",小鸟游 星野,,"冬装,无围巾",小鸟游 星野,小鳥遊 ホシノ,小鳥遊 星野,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
hoshino,42,76,1394,小鸟游 星野,小鸟游 星野,,,小鸟游 星野,小鳥遊 ホシノ,小鳥遊 星野,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
hoshino_robber,42,76,292,小鸟游 星野（头套）,小鸟游 星野,,头套,小鸟游 星野,小鳥遊 ホシノ,小鳥遊 星野,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
CH0241,42,287,1490,小鸟游 星野（一年级）,小鸟游 星野,一年级,,小鸟游 星野,小鳥遊 ホシノ,小鳥遊 星野,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
NP0167,42,287,1533,"小鸟游 星野（一年级,学校泳装）",小鸟游 星野,一年级,学校泳装,小鸟游 星野,小鳥遊 ホシノ,小鳥遊 星野,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
CH0258,42,373,751,小鸟游 星野（临战）,小鸟游 星野,临战,,小鸟游 星野（武装）,小鳥遊 ホシノ（臨戦）,小鳥遊 星野（武裝）,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
NP0179,42,373,796,"小鸟游 星野（临战,霰弹枪持盾战损）",小鸟游 星野,临战,霰弹枪持盾战损,小鸟游 星野（武装）,小鳥遊 ホシノ（臨戦）,小鳥遊 星野（武裝）,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
NP0196,42,373,1551,"小鸟游 星野（临战,手枪持盾）",小鸟游 星野,临战,手枪持盾,小鸟游 星野（武装）,小鳥遊 ホシノ（臨戦）,小鳥遊 星野（武裝）,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
NP0197,42,373,1552,"小鸟游 星野（临战,双持）",小鸟游 星野,临战,双持,小鸟游 星野（武装）,小鳥遊 ホシノ（臨戦）,小鳥遊 星野（武裝）,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
NP0198,42,373,750,"小鸟游 星野（临战,单持霰弹枪）",小鸟游 星野,临战,单持霰弹枪,小鸟游 星野（武装）,小鳥遊 ホシノ（臨戦）,小鳥遊 星野（武裝）,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
NP0200,42,373,1339,"小鸟游 星野（临战,手枪持盾战损）",小鸟游 星野,临战,手枪持盾战损,小鸟游 星野（武装）,小鳥遊 ホシノ（臨戦）,小鳥遊 星野（武裝）,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
NP0201,42,373,1340,"小鸟游 星野（临战,双持战损）",小鸟游 星野,临战,双持战损,小鸟游 星野（武装）,小鳥遊 ホシノ（臨戦）,小鳥遊 星野（武裝）,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
NP0202,42,373,1341,"小鸟游 星野（临战,单持霰弹枪战损）",小鸟游 星野,临战,单持霰弹枪战损,小鸟游 星野（武装）,小鳥遊 ホシノ（臨戦）,小鳥遊 星野（武裝）,Takanashi Hoshino,타카나시 호시노,1,阿比多斯高中
CH0070,43,43,1238,百合园 圣娅,百合园 圣娅,,,百合园 圣娅,百合園 セイア,百合園 聖亞,Yurizono Seia,유리조노 세이아,2,圣三一综合学园
NP0244,43,43,1366,百合园 圣娅（纸箱）,百合园 圣娅,,纸箱,百合园 圣娅,百合園 セイア,百合園 聖亞,Yurizono Seia,유리조노 세이아,2,圣三一综合学园
CH0295,43,543,1297,百合园 圣娅（泳装）,百合园 圣娅,泳装,,百合园 圣娅（泳装）,百合園 セイア（水着）,百合園 聖亞（泳裝）,Yurizono Seia,유리조노 세이아,2,圣三一综合学园
serika_newyear,44,44,48,黑见 芹香（正月）,黑见 芹香,正月,,黑见 芹香（新年）,黒見 セリカ（正月）,黒見 茜香（正月）,Kuromi Serika,쿠로미 세리카,1,阿比多斯高中
CH0189,44,59,1464,黑见 芹香（泳装）,黑见 芹香,泳装,,黑见 芹香（泳装）,黒見 セリカ（水着）,黒見 茜香（泳裝）,Kuromi Serika,쿠로미 세리카,1,阿比多斯高中
NP0065,44,59,1734,"黑见 芹香（泳装,头套）",黑见 芹香,泳装,头套,黑见 芹香（泳装）,黒見 セリカ（水着）,黒見 茜香（泳裝）,Kuromi Serika,쿠로미 세리카,1,阿比多斯高中
NP0047,44,83,1717,黑见 芹香（运动服）,黑见 芹香,,运动服,黑见 芹香,黒見 セリカ,黒見 茜香,Kuromi Serika,쿠로미 세리카,1,阿比多斯高中
NP0175,44,83,1541,黑见 芹香（战损）,黑见 芹香,,战损,黑见 芹香,黒見 セリカ,黒見 茜香,Kuromi Serika,쿠로미 세리카,1,阿比多斯高中
NP0217,44,83,1347,黑见 芹香（偶像服）,黑见 芹香,,偶像服,黑见 芹香,黒見 セリカ,黒見 茜香,Kuromi Serika,쿠로미 세리카,1,阿比多斯高中
serika,44,83,1414,黑见 芹香,黑见 芹香,,,黑见 芹香,黒見 セリカ,黒見 茜香,Kuromi Serika,쿠로미 세리카,1,阿比多斯高中
serika_robber,44,83,46,黑见 芹香（头套）,黑见 芹香,,头套,黑见 芹香,黒見 セリカ,黒見 茜香,Kuromi Serika,쿠로미 세리카,1,阿比多斯高中
